bits_p,bits_q,bits_N,p,q,N,delta,delta_bits,gap,rel_gap
48,48,95,180011627992799,180011627992871,32404186212630817370811335929,16,4,72,3.9997416168507633e-13
48,48,95,185768620346821,185768620346879,34509980305572091814304921659,16,4,58,3.1221634682815516e-13
48,48,96,273867664576927,273867664577011,75003497700843200793725225197,16,4,84,3.067174802463482e-13
48,48,96,264072446744761,264072446744807,69734257129776781798031206127,16,4,46,1.7419462184351726e-13
48,48,95,187725502295623,187725502295783,35240864212173992323252257809,16,4,160,8.523082801396365e-13
48,48,96,247883422157401,247883422157429,61446190980471221773039482029,16,4,28,1.1295632340519722e-13
48,48,95,146860968378947,146860968379009,21568144033211176005032323523,16,4,62,4.2216799115751177e-13
48,48,96,236637409939519,236637409939561,55997263782893904386455411159,16,4,42,1.7748672963725748e-13
48,48,96,206440555377997,206440555378039,42617702904784516582877607883,16,4,42,2.034483966732837e-13
48,48,96,244704291352139,244704291352187,59880190206164275586884777993,16,4,48,1.9615512149282835e-13
48,48,96,219981651413297,219981651413569,48391926958581149006692826993,256,8,272,1.2364667609881873e-12
48,48,96,268411293806857,268411293807133,72044622643144992440310910981,256,8,276,1.0282726784159156e-12
48,48,96,263368439627017,263368439627287,69362934991640807904775612879,256,8,270,1.0251797838125033e-12
48,48,95,141121783255781,141121783256087,19915357709334813886146188947,256,8,306,2.1683399468177643e-12
48,48,96,230438001396871,230438001397181,53101672487855756727681620651,256,8,310,1.3452642277776708e-12
48,48,95,193104889327627,193104889327927,37289498282293003510943739229,256,8,300,1.5535598349909142e-12
48,48,95,175926693013763,175926693014047,30950201314808770332523328861,256,8,284,1.6143087506200838e-12
48,48,96,228973982389181,228973982389601,52429084611257139801549306781,256,8,420,1.834269534106945e-12
48,48,95,158196242753539,158196242753867,25026051221388528936320185313,256,8,328,2.0733741477707903e-12
48,48,95,157286245324387,157286245324693,24738962968291381009926188191,256,8,306,1.945497518671186e-12
48,48,96,271067436767423,271067436771553,73477555276780374977643517919,4096,12,4130,1.5236060993604684e-11
48,48,95,154990334326979,154990334331083,24022003735424805280965188257,4096,12,4104,2.6479070567636593e-11
48,48,96,225173220476927,225173220481151,50702979220901908500633902977,4096,12,4224,1.8758891448164926e-11
48,48,96,224119836194537,224119836198641,50229700976785884917451024217,4096,12,4104,1.8311632159146032e-11
48,48,96,224546181014153,224546181018301,50420987408972182758433014053,4096,12,4148,1.847281472892314e-11
48,48,96,246128078667553,246128078671703,60579031109602589678365352759,4096,12,4150,1.686114003096107e-11
48,48,96,220619819466259,220619819470387,48673104742235432206396172233,4096,12,4128,1.8710920940594397e-11
48,48,96,245860167826849,245860167830951,60447222124854874539671003399,4096,12,4102,1.6684280484403965e-11
48,48,96,244576946898071,244576946902237,59817882955000749309640884827,4096,12,4166,1.703349417351557e-11
48,48,96,271084958275849,271084958280047,73487054604556807889618684903,4096,12,4198,1.5485920084491443e-11
48,48,95,191631170000071,191631170065609,36722505328155235245604658239,65536,16,65538,3.4200072978090514e-10
48,48,96,274182160458593,274182160524179,75175857131724149987904820147,65536,16,65586,2.3920593477875274e-10
48,48,95,185103816071423,185103816137021,34263422736345635832090450883,65536,16,65598,3.5438491426381664e-10
48,48,96,211137840274849,211137840340391,44579187609766044775156125959,65536,16,65542,3.104228020164824e-10
48,48,95,173867658186791,173867658252329,30229962574753730028092786239,65536,16,65538,3.7694186872430665e-10
48,48,95,193722451629793,193722451695329,37528388278153283151935336897,65536,16,65536,3.3829842353097554e-10
48,48,96,271855592806223,271855592871773,73905463357843060656475443379,65536,16,65550,2.411206601102406e-10
48,48,96,221311367643991,221311367709529,48978721462958050918770290239,65536,16,65538,2.9613481082328595e-10
48,48,96,249660767916181,249660767981741,62330499052864952125626451121,65536,16,65560,2.625963243588302e-10
48,48,95,165960852654299,165960852719923,27543004624632958428188898977,65536,16,65624,3.9541855164917787e-10
48,48,95,143083461589637,143083462638223,20472877130508441389416895051,1048576,20,1048586,7.328491948042639e-09
48,48,95,143106975472211,143106976520791,20479606578863113107084238901,1048576,20,1048580,7.327245878115949e-09
