bits_p,bits_q,bits_N,N,p_true,q_true,delta,delta_bits,gap,rel_gap,status,p_found,q_found,duration_s,iterations,iter_expected_exact,iter_expected_approx,b,a0,a_target
48,48,95,32404186212630817370811335929,180011627992799,180011627992871,16,4,72,3.9997416168507633e-13,FOUND,180011627992799,180011627992871,3.2999960239976645e-06,0,0,3.599767455165687e-12,36,180011627992835,180011627992835
48,48,95,34509980305572091814304921659,185768620346821,185768620346879,16,4,58,3.1221634682815516e-13,FOUND,185768620346821,185768620346879,1.3999961083754897e-06,0,0,2.2635685145041247e-12,29,185768620346850,185768620346850
48,48,96,75003497700843200793725225197,273867664576927,273867664577011,16,4,84,3.067174802463482e-13,FOUND,273867664576927,273867664577011,8.00006091594696e-07,0,0,3.220533542586656e-12,42,273867664576969,273867664576969
48,48,96,69734257129776781798031206127,264072446744761,264072446744807,16,4,46,1.7419462184351726e-13,FOUND,264072446744761,264072446744807,7.00005330145359e-07,0,0,1.0016190756002243e-12,23,264072446744784,264072446744784
48,48,95,35240864212173992323252257809,187725502295623,187725502295783,16,4,160,8.523082801396365e-13,FOUND,187725502295623,187725502295783,7.00005330145359e-07,0,0,1.7046165602792728e-11,80,187725502295703,187725502295703
48,48,96,61446190980471221773039482029,247883422157401,247883422157429,16,4,28,1.1295632340519722e-13,FOUND,247883422157401,247883422157429,9.999930625781417e-07,0,0,3.9534713191819027e-13,14,247883422157415,247883422157415
48,48,95,21568144033211176005032323523,146860968378947,146860968379009,16,4,62,4.2216799115751177e-13,FOUND,146860968378947,146860968379009,7.999915396794677e-07,0,0,3.2718019314707162e-12,31,146860968378978,146860968378978
48,48,96,55997263782893904386455411159,236637409939519,236637409939561,16,4,42,1.7748672963725748e-13,FOUND,236637409939519,236637409939561,2.5000044843181968e-06,0,0,9.318053305956018e-13,21,236637409939540,236637409939540
48,48,96,42617702904784516582877607883,206440555377997,206440555378039,16,4,42,2.034483966732837e-13,FOUND,206440555377997,206440555378039,1.300009898841381e-06,0,0,1.0681040825347395e-12,21,206440555378018,206440555378018
48,48,96,59880190206164275586884777993,244704291352139,244704291352187,16,4,48,1.9615512149282835e-13,FOUND,244704291352139,244704291352187,8.999923011288047e-07,0,0,1.17693072895697e-12,24,244704291352163,244704291352163
48,48,96,48391926958581149006692826993,219981651413297,219981651413569,256,8,272,1.2364667609881873e-12,FOUND,219981651413297,219981651413569,7.00005330145359e-07,0,0,4.203986987359837e-11,136,219981651413433,219981651413433
48,48,96,72044622643144992440310910981,268411293806857,268411293807133,256,8,276,1.0282726784159156e-12,FOUND,268411293806857,268411293807133,6.999907782301307e-07,0,0,3.547540740534909e-11,138,268411293806995,268411293806995
48,48,96,69362934991640807904775612879,263368439627017,263368439627287,256,8,270,1.0251797838125033e-12,FOUND,263368439627017,263368439627287,6.999907782301307e-07,0,0,3.459981770367199e-11,135,263368439627152,263368439627152
48,48,95,19915357709334813886146188947,141121783255781,141121783256087,256,8,306,2.1683399468177643e-12,FOUND,141121783255781,141121783256087,7.00005330145359e-07,0,0,8.293900296577949e-11,153,141121783255934,141121783255934
48,48,96,53101672487855756727681620651,230438001396871,230438001397181,256,8,310,1.3452642277776708e-12,FOUND,230438001396871,230438001397181,6.00004568696022e-07,0,0,5.2128988826384745e-11,155,230438001397026,230438001397026
48,48,95,37289498282293003510943739229,193104889327627,193104889327927,256,8,300,1.5535598349909142e-12,FOUND,193104889327627,193104889327927,6.00004568696022e-07,0,0,5.825849381215929e-11,150,193104889327777,193104889327777
48,48,95,30950201314808770332523328861,175926693013763,175926693014047,256,8,284,1.6143087506200838e-12,FOUND,175926693013763,175926693014047,6.999907782301307e-07,0,0,5.730796064701297e-11,142,175926693013905,175926693013905
48,48,96,52429084611257139801549306781,228973982389181,228973982389601,256,8,420,1.834269534106945e-12,FOUND,228973982389181,228973982389601,6.00004568696022e-07,0,0,9.62991505406146e-11,210,228973982389391,228973982389391
48,48,95,25026051221388528936320185313,158196242753539,158196242753867,256,8,328,2.0733741477707903e-12,FOUND,158196242753539,158196242753867,6.999907782301307e-07,0,0,8.50083400586024e-11,164,158196242753703,158196242753703
