N,bits_N,repeat,timeout_s,status,p_found,q_found,iterations,restarts,seed,x0,c,duration_ns,duration_us,duration_ms,duration_s,started_utc,finished_utc,source_file
143,8,1,60,FOUND,11,13,6,1,15813628312338801304,68,21,7500,7.5,0.0075,7.5e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
143,8,2,60,FOUND,11,13,3,0,12118099819743790987,16,96,2400,2.4,0.0024,2.4e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
143,8,3,60,FOUND,11,13,2,0,15043360844455138235,53,34,1400,1.4,0.0014,1.4e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
169,8,1,60,FOUND,13,13,2,0,7929613011968713902,159,35,1300,1.3,0.0013,1.3e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
169,8,2,60,FOUND,13,13,12,2,13067120761180676465,121,161,9700,9.7,0.0097,9.7e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
169,8,3,60,FOUND,13,13,8,1,448097964384459718,47,33,8400,8.4,0.0084,8.4e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
143,8,1,60,FOUND,11,13,6,1,15813628312338801304,68,21,5900,5.9,0.0059,5.9e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
143,8,2,60,FOUND,11,13,3,0,12118099819743790987,16,96,2600,2.6,0.0026,2.6e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
143,8,3,60,FOUND,11,13,2,0,15043360844455138235,53,34,1800,1.8,0.0018,1.8e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
169,8,1,60,FOUND,13,13,2,0,7929613011968713902,159,35,1600,1.6,0.0016,1.6e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
169,8,2,60,FOUND,13,13,12,2,13067120761180676465,121,161,11500,11.5,0.0115,1.15e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
169,8,3,60,FOUND,13,13,8,1,448097964384459718,47,33,7400,7.4,0.0074,7.4e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
143,8,1,60,FOUND,11,13,6,1,15813628312338801304,68,21,6100,6.1,0.0061,6.1e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
143,8,2,60,FOUND,11,13,3,0,12118099819743790987,16,96,2100,2.1,0.0021,2.1e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
143,8,3,60,FOUND,11,13,2,0,15043360844455138235,53,34,1800,1.8,0.0018,1.8e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
169,8,1,60,FOUND,13,13,2,0,7929613011968713902,159,35,1900,1.9,0.0019,1.9e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
169,8,2,60,FOUND,13,13,12,2,13067120761180676465,121,161,11500,11.5,0.0115,1.15e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
169,8,3,60,FOUND,13,13,8,1,448097964384459718,47,33,6900,6.9,0.0069,6.9e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
143,8,1,60,FOUND,11,13,6,1,15813628312338801304,68,21,5600,5.6,0.0056,5.6e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
143,8,2,60,FOUND,11,13,3,0,12118099819743790987,16,96,2500,2.5,0.0025,2.5e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
143,8,3,60,FOUND,11,13,2,0,15043360844455138235,53,34,1700,1.7,0.0017,1.7e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
169,8,1,60,FOUND,13,13,2,0,7929613011968713902,159,35,1500,1.5,0.0015,1.5e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
169,8,2,60,FOUND,13,13,12,2,13067120761180676465,121,161,10700,10.7,0.0107,1.07e-05,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
169,8,3,60,FOUND,13,13,8,1,448097964384459718,47,33,7300,7.3,0.0073,7.3e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
143,8,1,60,FOUND,11,13,6,1,15813628312338801304,68,21,6400,6.4,0.0064,6.4e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
143,8,2,60,FOUND,11,13,3,0,12118099819743790987,16,96,2100,2.1,0.0021,2.1e-06,2026-02-09 23:23:50,2026-02-09 23:23:50,n_values_equal\n_values_008bit.txt
