N,bits_N,repeat,timeout_s,status,p_found,q_found,iterations,restarts,seed,x0,c,duration_ns,duration_us,duration_ms,duration_s,started_utc,finished_utc,source_file
40400660413,36,1,60,FOUND,261983,154211,288,0,6326307583626442374,29852984023,32026734650,358900,358.9,0.3589,0.0003589,2026-02-17 12:05:54,2026-02-17 12:05:54,
40400660413,36,2,60,FOUND,154211,261983,411,0,5820050653219714940,2079662974,10506609977,363700,363.7,0.3637,0.0003637,2026-02-17 12:05:54,2026-02-17 12:05:54,
40400660413,36,3,60,FOUND,261983,154211,180,0,10016972425527823042,34100177370,15906356916,127000,127.0,0.127,0.000127,2026-02-17 12:05:54,2026-02-17 12:05:54,
41341034099,36,1,60,FOUND,191627,215737,366,0,13432102347354619122,11857592395,16754029112,259300,259.3,0.2593,0.0002593,2026-02-17 12:05:54,2026-02-17 12:05:54,
41341034099,36,2,60,FOUND,191627,215737,160,0,5027853552368958565,2089381124,28971259742,113700,113.7,0.1137,0.0001137,2026-02-17 12:05:54,2026-02-17 12:05:54,
41341034099,36,3,60,FOUND,191627,215737,200,0,10663113659345627642,34271800081,32199272199,141200,141.2,0.1412,0.0001412,2026-02-17 12:05:54,2026-02-17 12:05:54,
37524772001,36,1,60,FOUND,157427,238363,656,0,5841334367345126792,7894160901,17463113784,446300,446.3,0.4463,0.0004463,2026-02-17 12:05:54,2026-02-17 12:05:54,
37524772001,36,2,60,FOUND,157427,238363,364,0,3846611662288778391,36808174518,30164017371,271000,271.0,0.271,0.000271,2026-02-17 12:05:54,2026-02-17 12:05:54,
37524772001,36,3,60,FOUND,157427,238363,124,0,9774070295288037831,8429523574,8854825714,86500,86.5,0.0865,8.65e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
63703740647,36,1,60,FOUND,252409,252383,118,0,12237993483362367873,20961723515,17452151918,82200,82.2,0.0822,8.22e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
63703740647,36,2,60,FOUND,252409,252383,336,0,162714188797273834,32732507929,6758529828,231100,231.1,0.2311,0.0002311,2026-02-17 12:05:54,2026-02-17 12:05:54,
63703740647,36,3,60,FOUND,252409,252383,248,0,1765846110752527272,44239198293,3675091871,171700,171.7,0.1717,0.0001717,2026-02-17 12:05:54,2026-02-17 12:05:54,
38283100451,36,1,60,FOUND,240437,159223,5,0,18201361738962859732,17484499368,7033699293,4400,4.4,0.0044,4.4e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
38283100451,36,2,60,FOUND,240437,159223,270,0,5048869218663815377,23517771362,4196318611,186500,186.5,0.1865,0.0001865,2026-02-17 12:05:54,2026-02-17 12:05:54,
38283100451,36,3,60,FOUND,240437,159223,530,0,15124586327064506029,2287705339,33447947864,369500,369.5,0.3695,0.0003695,2026-02-17 12:05:54,2026-02-17 12:05:54,
37073916433,36,1,60,FOUND,166739,222347,80,0,6299366599536773874,25398343272,26745319619,56800,56.8,0.0568,5.68e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
37073916433,36,2,60,FOUND,166739,222347,254,0,8300023317014990460,35706364498,3517660047,170800,170.8,0.1708,0.0001708,2026-02-17 12:05:54,2026-02-17 12:05:54,
37073916433,36,3,60,FOUND,222347,166739,282,0,15448338985155192317,19236014754,33669777389,191100,191.1,0.1911,0.0001911,2026-02-17 12:05:54,2026-02-17 12:05:54,
48386840497,36,1,60,FOUND,239017,202441,266,0,15825087137052878309,34535469438,23134923945,232500,232.5,0.2325,0.0002325,2026-02-17 12:05:54,2026-02-17 12:05:54,
48386840497,36,2,60,FOUND,202441,239017,59,0,9534204431078326165,17105469938,34429424804,45000,45.0,0.045,4.5e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
48386840497,36,3,60,FOUND,239017,202441,470,0,2353209987327267341,36449593121,1785521606,431400,431.4,0.4314,0.0004314,2026-02-17 12:05:54,2026-02-17 12:05:54,
36639671273,36,1,60,FOUND,145987,250979,380,0,5468537674615307514,15440540199,5838501826,259700,259.7,0.2597,0.0002597,2026-02-17 12:05:54,2026-02-17 12:05:54,
36639671273,36,2,60,FOUND,250979,145987,708,0,9542524704810841612,9220087215,20477545593,490000,490.0,0.49,0.00049,2026-02-17 12:05:54,2026-02-17 12:05:54,
36639671273,36,3,60,FOUND,145987,250979,190,0,14009878606548622708,30814653015,17221166929,136300,136.3,0.1363,0.0001363,2026-02-17 12:05:54,2026-02-17 12:05:54,
40660933667,36,1,60,FOUND,192853,210839,60,0,3033730643670357729,5387574790,29852479818,43700,43.7,0.0437,4.37e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
40660933667,36,2,60,FOUND,210839,192853,455,0,5954860025883974929,13941807062,35516806997,306900,306.9,0.3069,0.0003069,2026-02-17 12:05:54,2026-02-17 12:05:54,
40660933667,36,3,60,FOUND,210839,192853,202,0,14276117311657252810,33019732743,20898532299,145400,145.4,0.1454,0.0001454,2026-02-17 12:05:54,2026-02-17 12:05:54,
49953573331,36,1,60,FOUND,192121,260011,96,0,17392967466701964561,17921075726,34491504017,67600,67.6,0.0676,6.76e-05,2026-02-17 12:05:54,2026-02-17 12:05:54,
49953573331,36,2,60,FOUND,192121,260011,206,0,10362985388622955166,23846533415,1016849382,142800,142.8,0.1428,0.0001428,2026-02-17 12:05:54,2026-02-17 12:05:54,
49953573331,36,3,60,FOUND,192121,260011,390,0,15351858475748468707,47547020772,40234860391,267000,267.0,0.267,0.000267,2026-02-17 12:05:54,2026-02-17 12:05:54,
51624550037,36,1,60,FOUND,215279,239803,339,0,4343517584653577747,32486816867,35346458450,233700,233.7,0.2337,0.0002337,2026-02-17 12:05:54,2026-02-17 12:05:54,
51624550037,36,2,60,FOUND,239803,215279,253,0,16878506461450197415,51375264016,16444895952,313600,313.6,0.3136,0.0003136,2026-02-17 12:05:54,2026-02-17 12:05:54,
51624550037,36,3,60,FOUND,215279,239803,306,0,16639629263880419001,4617185517,49357447519,209100,209.1,0.2091,0.0002091,2026-02-17 12:05:54,2026-02-17 12:05:54,
59338831271,36,1,60,FOUND,248071,239201,890,0,9431013764589606101,29523797458,19225932403,655100,655.1,0.6551,0.0006551,2026-02-17 12:05:54,2026-02-17 12:05:54,
59338831271,36,2,60,FOUND,248071,239201,396,0,176763032559346771,28825006578,28242533747,274600,274.6,0.2746,0.0002746,2026-02-17 12:05:54,2026-02-17 12:05:54,
59338831271,36,3,60,FOUND,248071,239201,342,0,17489521160190255257,11971443899,59117732346,231100,231.1,0.2311,0.0002311,2026-02-17 12:05:54,2026-02-17 12:05:54,
38828168023,36,1,60,FOUND,158663,244721,232,0,3601613772096965788,2426383697,8268338629,156700,156.7,0.1567,0.0001567,2026-02-17 12:05:54,2026-02-17 12:05:54,
38828168023,36,2,60,FOUND,244721,158663,736,0,17691023933867990923,30810988009,27366706012,510300,510.3,0.5103,0.0005103,2026-02-17 12:05:54,2026-02-17 12:05:54,
38828168023,36,3,60,FOUND,158663,244721,208,0,14419960379540053970,34239648515,26127743069,146200,146.2,0.1462,0.0001462,2026-02-17 12:05:54,2026-02-17 12:05:54,
44436632153,36,1,60,FOUND,188389,235877,168,0,10545179334719481526,18441946507,2580554087,119500,119.5,0.1195,0.0001195,2026-02-17 12:05:54,2026-02-17 12:05:54,
44436632153,36,2,60,FOUND,188389,235877,488,0,18093024552048668467,26705739402,36174691673,338500,338.5,0.3385,0.0003385,2026-02-17 12:05:54,2026-02-17 12:05:54,
