N,bits_N,status,factors_str,residual,trials_tested,divisions,duration_ns,duration_ms,duration_s,source_file,started_utc,finished_utc
3483648322291141,52,FOUND_ALL,55071073 * 63257317,63257317,18357024,1,2644929100,2644.9291,2.6449291,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_052bit.txt,2026-02-10 01:06:04,2026-02-10 01:06:06
3405814831548583,52,FOUND_ALL,51187597 * 66535939,66535939,17062532,1,2455055100,2455.0551,2.4550551,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_052bit.txt,2026-02-10 01:06:06,2026-02-10 01:06:09
2720894186765453,52,FOUND_ALL,47652097 * 57099149,57099149,15884032,1,2302668900,2302.6689,2.3026689,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_052bit.txt,2026-02-10 01:06:09,2026-02-10 01:06:11
3053988422755289,52,FOUND_ALL,49060877 * 62248957,62248957,16353625,1,2377604200,2377.6042,2.3776042,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_052bit.txt,2026-02-10 01:06:11,2026-02-10 01:06:13
3963601494436217,52,FOUND_ALL,60098419 * 65951843,65951843,20032806,1,2903128300,2903.1283,2.9031283,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_052bit.txt,2026-02-10 01:06:13,2026-02-10 01:06:16
3071985007803539,52,FOUND_ALL,47843371 * 64209209,64209209,15947790,1,2318327900,2318.3279,2.3183279,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_052bit.txt,2026-02-10 01:06:16,2026-02-10 01:06:19
2882696092633151,52,FOUND_ALL,51440567 * 56039353,56039353,17146855,1,2450986500,2450.9865,2.4509865,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_052bit.txt,2026-02-10 01:06:19,2026-02-10 01:06:21
2915513407476233,52,FOUND_ALL,49244893 * 59204381,59204381,16414964,1,2233928800,2233.9288,2.2339288,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_052bit.txt,2026-02-10 01:06:21,2026-02-10 01:06:23
2519912315304529,52,FOUND_ALL,47596333 * 52943413,52943413,15865444,1,2238382000,2238.382,2.238382,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_052bit.txt,2026-02-10 01:06:23,2026-02-10 01:06:26
3048850487438291,52,FOUND_ALL,53880971 * 56584921,56584921,17960323,1,2478531700,2478.5317,2.4785317,C:\Users\Verena Gemmel\Documents\Jonathan Schule\Facharbeit\Versuche und Ergebnisse\Experiment Trial Division\Programme\n_values\n_values_052bit.txt,2026-02-10 01:06:26,2026-02-10 01:06:28
